Date,Close,High,Low,Open,Volume,sma_5,sma_10,sma_20,ema_10,ema_20,dist_sma10,sma_cross,retorno_1,retorno_5,retorno_10,retorno_20,mom_10,mom_20,risk_5,risk_10,risk_20,range,range_roll_14,rsi_14,macd,macd_signal,macd_hist,day,month,roll_max_20,roll_min_20,dist_resistance,dist_support,vol_sma_10,vol_ratio
2024-03-11,56.39177322387695,56.4385784290417,55.77393523108086,55.96115605173984,14114300,,,,,,,,,,,,,,,,,0.6646431979608352,,,0.0,0.0,0.0,0,3,,,,,,
2024-03-12,56.635154724121094,56.8691842890968,56.363679571707415,56.466653151657965,12684600,,,,56.39177322387695,56.39177322387695,,,0.0043159043656582075,,,,,,,,,0.5055047173893854,,,0.005460482377273479,0.0030336013207074883,0.0024268810565659907,1,3,,,,,,
2024-03-13,57.21554946899414,57.29980025879452,56.915991898816785,56.99088307686508,13909500,,,,56.52563304901123,56.51954851150513,,,0.010247959022982256,,,,,,,,,0.3838083599777349,,,0.024955744692107373,0.012018086308986127,0.012937658383121246,2,3,,,,,,
2024-03-14,57.08816909790039,57.37125020822359,56.99380992764986,57.1636593137581,13996600,,,,56.8029748656821,56.77511589056646,,,-0.002226324351962683,,,,,,,,,0.3774402805737296,,,0.02861195044627607,0.01763931399776998,0.010972636448506087,3,3,,,,,,
2024-03-15,56.50312805175781,57.040983181544455,56.27666102889286,56.63523231527436,36849900,,,,56.89693365852431,56.865489511299614,,,-0.010248026086443485,,,,,,,,,0.7643221526515944,,,0.0067161947335563354,0.01438993296962456,-0.007673738236068225,4,3,,,,,,
2024-03-18,56.73902893066406,56.993802978763476,56.427637227574394,56.5125619102742,15856700,56.766754913330075,,,56.78388277935198,56.77783735786554,,,0.004175005650840502,0.0061579143008767545,,,,,,,,0.5661657511890823,,,0.0035148937070061947,0.011442192688968617,-0.007927298981962422,0,3,,,,,,
2024-03-19,56.83339309692383,56.94662481730987,56.67298179300789,56.8428311733727,15030600,56.8362060546875,,,56.772232685514226,56.7696505523942,,,0.0016631262120307966,0.0035002707023295,,,,,,,,0.2736430243019754,,,0.00567618109880641,0.009982968978690446,-0.004306787879884037,1,3,,,,,,
2024-03-20,57.324066162109375,57.38068381959665,56.767338461984224,56.78621101447998,15258800,56.87585372924805,,,56.78696988779114,56.78170268982138,,,0.00863353459028482,0.0018966293974689297,,,,,,,,0.6133453576124239,,,0.030370442245491347,0.01488246219122246,0.015487980054268886,2,3,,,,,,
2024-03-21,57.05985641479492,57.550531970552385,56.9183140738677,57.14478109943701,13067100,56.89755706787109,,,56.9091618786119,56.87545294126892,,,-0.00460905453858218,-0.0004959465954655906,,,,,,,,0.6322178966846863,,,0.03390024721242213,0.01927566487883759,0.014624582333584539,3,3,,,,,,
2024-03-22,57.0787239074707,57.361804964661786,57.02210625620411,57.107030933318526,11502800,56.89189453125,,,56.941947736240486,56.90503216011151,,,0.00033066141173976327,0.01018697328023399,,,,,,,,0.339698708457675,,,0.03688283820557814,0.023220693799036404,0.013662144406541735,4,3,,,,,16227090.0,0.7088640045750655
